stationName,date,record,maxAirTmp,timeMaxAirTmp,minAirTmp,timeMinAirTmp,avgAirTmp,avgRelHum,avgDewPoint,maxRelHum,timeMaxRelHum,maxDewPoint,timeMaxDewPoint,minRelHum,timeMinRelHum,minDewPoint,timeMinDewPoint,avgWindSpeed,maxWindSpeed,timeMaxWindSpeed,maxWindSpeedDir,precip,solRad,eto,etoFlag,hstAirTmp01,hstAirTmp02,hstAirTmp03,hstAirTmp04,hstAirTmp05,hstAirTmp06,hstAirTmp07,hstAirTmp08,hstAirTmp09,hstAirTmp10,hstAirTmp11,hstAirTmp12,hstAirTmp13,batVolt,yearRain,eto7,eto30,maxSoilTmp,minSoilTmp,avgSoilTmp
Coastal,1/29/19,0,65.22,1412,48.52,405,55.18,74.95,,,,,,,,,,1.931,13.82,1959,124,0,298.4,0.072,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/30/19,0,62.07,1328,48.89,437,53,94.2,,,,,,,,,,2.117,13.82,2038,104,0,231.1,0.055,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/31/19,0,54.33,1001,45.92,2153,50.69,98.5,,,,,,,,,,3.613,25.56,1455,99,0.74,72.79,0.016,M,,,,,,,,,,,,,,,,,,,,
Coastal,2/1/19,0,59.44,1323,44.2,211,51.13,90.4,,,,,,,,,,2.648,17.17,2150,93,0,254.5,0.058,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/2/19,0,55.06,1022,45.79,2355,50.36,99,,,,,,,,,,6.715,40.65,1052,135,1.49,43.63,0.009,M,,,,,,,,,,,,,,,,,,,,
Coastal,2/3/19,0,53.84,1455,45.18,37,48.44,99.9,,,,,,,,,,1.659,10.46,450,113,0.32,130.9,0.029,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/4/19,0,52.85,1228,45.3,2359,48.4,99.5,,,,,,,,,,1.751,15.49,341,210,0.42,93,0.02,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/5/19,0,51.39,1421,40.16,2120,45.28,86.9,,,,,,,,,,1.47,23.88,2104,331,0.15,223.8,0.046,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/6/19,0,53.95,1143,33.82,700,43.08,57.36,,,,,,,,,,1.744,12.14,1413,352,0,384.5,0.082,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/7/19,0,58.71,1121,37.36,103,47.16,51.76,,,,,,,,,,1.54,10.46,320,96,0,383.3,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/8/19,0,59.07,1111,34.43,450,45.41,79.57,,,,,,,,,,0.552,7.108,1158,273,0,385.6,0.086,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/9/19,0,57.91,1317,39.38,2,47.29,86.5,,,,,,,,,,1.457,12.14,618,118,0.33,316.1,0.072,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/10/19,0,56.88,1130,37.42,2317,45.76,91.6,,,,,,,,,,1.065,12.14,1908,275,0.28,196.2,0.046,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/11/19,0,57.29,1509,33.3,300,47.1,65.86,,,,,,,,,,0.654,13.82,1254,143,0,395.1,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/12/19,0,68.6,1149,37.52,348,54.25,40.57,,,,,,,,,,1.311,7.108,1018,90,0,303.1,0.088,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/13/19,0,58.29,935,48.15,1423,53.24,61.4,,,,,,,,,,6.273,28.91,2248,124,0.39,100.8,0.056,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/14/19,0,59.07,1150,48.83,2338,54.59,99.7,,,,,,,,,,4.891,27.23,257,106,3.44,31.96,0.008,M,,,,,,,,,,,,,,,,,,,,
Coastal,2/15/19,0,60.94,1112,45.66,611,51.68,90.5,,,,,,,,,,0.666,8.79,2321,273,0.19,293.9,0.07,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/16/19,0,60.09,1148,43.42,543,50.66,73.72,,,,,,,,,,2.381,13.82,1621,276,0.01,416.1,0.099,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/17/19,0,58.39,1101,43.4,2351,49.38,73.25,,,,,,,,,,3.044,22.2,2129,271,0,309.6,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/18/19,0,56.94,1131,34.67,705,45.46,61.36,,,,,,,,,,1.1,12.14,1635,83,0,425.1,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/19/19,0,57.92,1245,38.92,54,47.52,53.85,,,,,,,,,,1.007,8.79,413,75,0,429.5,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/20/19,0,55.74,1114,35.94,146,46.15,76.64,,,,,,,,,,2.527,15.49,2207,281,0.32,241.6,0.06,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/21/19,0,56.17,1330,38.74,2327,46.53,69.27,,,,,,,,,,2.422,18.85,1622,43,0,281.5,0.068,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/22/19,0,58.77,1240,33.77,406,46.15,65.2,,,,,,,,,,0.53,7.108,902,268,0,445.7,0.103,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/23/19,0,61.55,1350,38.07,117,50.2,66.92,,,,,,,,,,1.297,8.79,444,75,0,450.1,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/24/19,0,66.78,1107,43.72,623,52.36,56.49,,,,,,,,,,0.519,7.108,1233,231,0,430.6,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/25/19,0,65.43,1346,43.89,337,52.45,77.38,,,,,,,,,,1.101,8.79,746,118,0,428,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/26/19,0,63.26,1318,43.65,542,51.94,89.3,,,,,,,,,,0.739,7.108,253,110,0,317.2,0.078,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/27/19,0,62.89,1421,47,100,54.07,79.72,,,,,,,,,,0.629,7.108,1127,110,0,330.4,0.083,*,,,,,,,,,,,,,,,,,,,,
Coastal,2/28/19,0,67.5,1142,53.3,213,57.79,86,,,,,,,,,,0.633,7.108,2,88,0.01,363.7,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/1/19,0,65.31,1323,48.46,2258,55.36,92,,,,,,,,,,0.31,7.108,2324,88,0.01,245,0.065,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/2/19,0,57.8,1517,51.78,646,54.8,98.2,,,,,,,,,,3.862,20.52,959,121,1.05,60.05,0.015,M,,,,,,,,,,,,,,,,,,,,
Coastal,3/3/19,0,62.15,1046,51.42,2349,54.95,94.6,,,,,,,,,,0.222,7.108,1018,244,0.09,297.1,0.073,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/4/19,0,62.65,1306,46.15,2219,53.13,88.8,,,,,,,,,,0.317,7.108,1222,237,0,313.5,0.078,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/5/19,0,66.67,1215,44.08,420,55.49,74.24,,,,,,,,,,2.749,22.2,2034,152,0,305.9,0.091,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/6/19,0,64.49,32,53.18,439,55.77,88.8,,,,,,,,,,3.837,23.88,1017,66,0.41,71.99,0.023,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/7/19,0,63.14,1234,47.79,2208,53.83,87.7,,,,,,,,,,0.542,10.46,1520,222,0.01,352.2,0.088,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/8/19,0,59.38,1236,44.56,2059,50.99,76.48,,,,,,,,,,1.899,18.85,1107,263,0.01,465.3,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/9/19,0,60.34,1308,42.92,2158,50.15,77.29,,,,,,,,,,2.571,13.82,635,97,0,411.2,0.101,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/10/19,0,59.85,1338,41.53,541,49.83,79.1,,,,,,,,,,0.635,8.79,1233,246,0,353.5,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/11/19,0,66.19,1304,45.18,528,52.58,74.79,,,,,,,,,,0.767,10.46,1442,80,0.05,171.5,0.051,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/12/19,0,65.45,1258,47.3,636,54.05,85,,,,,,,,,,1.437,13.82,2104,169,0.13,483,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/13/19,0,63.85,1414,44.01,2150,53.27,73.77,,,,,,,,,,2.62,15.49,515,95,0,424.9,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/14/19,0,70.06,1255,52.72,640,59.46,24.64,,,,,,,,,,3.876,23.88,756,87,0,515.7,0.172,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/15/19,0,75.62,1436,54.65,308,62.78,23.31,,,,,,,,,,2.395,12.14,714,73,0,510.4,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/16/19,0,77.32,1047,56.21,2018,66.08,25.9,,,,,,,,,,1.733,12.14,329,88,0,531.4,0.163,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/17/19,0,81,1147,53.55,605,66.27,41.71,,,,,,,,,,2.012,15.49,2129,102,0,531,0.162,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/18/19,0,74.17,1203,48.46,322,60.35,56.77,,,,,,,,,,1.704,10.46,1819,105,0,546.3,0.158,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/19/19,0,64.38,836,47.79,240,54.86,81.3,,,,,,,,,,3.627,17.17,1256,81,0,366.6,0.091,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/20/19,0,64.72,1307,50.99,1920,55.67,85.7,,,,,,,,,,2.611,13.82,245,89,0,355.9,0.094,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/21/19,0,62.91,1405,46.21,2131,52.44,84,,,,,,,,,,0.389,8.79,1504,233,0.03,289.5,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/22/19,0,64.6,1317,47,615,53.9,83.6,,,,,,,,,,0.58,7.108,1252,226,0,401.2,0.103,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/23/19,0,64.96,1301,44.56,323,53.93,87.3,,,,,,,,,,0.534,7.108,1324,164,0,375.7,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/24/19,0,66.76,1432,47.55,28,56.25,85.2,,,,,,,,,,0.61,7.108,339,92,0,466.4,0.126,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/25/19,0,72.84,1040,49.44,45,58.19,75.62,,,,,,,,,,0.45,7.108,1415,291,0,531.1,0.147,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/26/19,0,69.81,1357,45.9,546,56.37,84.3,,,,,,,,,,0.331,7.108,1422,161,0,435.5,0.117,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/27/19,0,68.35,1403,49.19,154,57.29,88.5,,,,,,,,,,0.588,8.79,1212,256,0,444.3,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/28/19,0,67.26,1247,49.8,2141,56.96,84.1,,,,,,,,,,0.596,10.46,1142,270,0,478.5,0.128,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/29/19,0,67.37,1440,48.95,2338,56.31,79.36,,,,,,,,,,1.159,8.79,728,106,0,489.9,0.131,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/30/19,0,76.23,1251,45.05,455,61.15,60.58,,,,,,,,,,0.728,5.431,134,107,0,544.1,0.156,*,,,,,,,,,,,,,,,,,,,,
Coastal,3/31/19,0,80.3,1331,50.84,559,66.17,40.8,,,,,,,,,,0.586,5.431,719,86,0,550.5,0.163,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/1/19,0,81.9,1206,52.57,527,66.67,43.19,,,,,,,,,,1.071,8.79,2024,96,0,518.7,0.156,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/2/19,0,65.45,1017,52.94,1854,57.66,85.6,,,,,,,,,,3.312,15.49,308,97,0.01,383.4,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/3/19,0,65.69,1143,50.17,2355,56.08,88,,,,,,,,,,0.449,10.46,1232,256,0.08,419.8,0.092,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/4/19,0,66.89,1332,50.04,5,56.59,79.87,,,,,,,,,,0.289,7.108,1052,183,0,438.9,0.12,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/5/19,0,66.68,1155,50.17,601,58.41,76.61,,,,,,,,,,0.606,8.79,1417,254,0.01,379.4,0.101,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/6/19,0,68.27,1259,52.52,126,58.02,81.1,,,,,,,,,,0.363,7.108,926,258,0,443.4,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/7/19,0,80,1323,51.18,210,64.06,67.68,,,,,,,,,,0.425,7.108,1317,298,0,513.3,0.15,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/8/19,0,85.8,1233,55.5,529,69.03,56.78,,,,,,,,,,0.768,12.14,2251,72,0,514.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/9/19,0,69.3,1255,56.29,1935,60.83,70.02,,,,,,,,,,3.134,20.52,2156,297,0,468.8,0.143,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/10/19,0,72.58,959,49.74,619,60.34,44.53,,,,,,,,,,1.273,13.82,1433,290,0,578.8,0.171,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/11/19,0,69.18,1409,48.76,155,58.6,64.67,,,,,,,,,,2.458,17.17,2213,125,0,475.2,0.135,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/12/19,0,69.41,1345,50.96,407,58.29,72.24,,,,,,,,,,2.444,13.82,100,118,0,544.2,0.153,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/13/19,0,73.78,1122,47.78,444,61.08,59.88,,,,,,,,,,0.476,7.108,10,128,0,580.9,0.166,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/14/19,0,75.99,1223,49.73,118,60.46,62.25,,,,,,,,,,0.863,10.46,349,122,0,554.8,0.158,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/15/19,0,67.05,1330,45.71,354,55.22,79.66,,,,,,,,,,1.006,12.14,2206,143,0,496.7,0.133,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/16/19,0,66.09,1226,49,2359,56.34,77.72,,,,,,,,,,1.17,12.14,903,126,0,430.4,0.118,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/17/19,0,70.63,1315,48.15,304,59.09,71.21,,,,,,,,,,0.589,8.79,1346,125,0,585.8,0.162,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/18/19,0,80.8,1333,50.96,302,64.14,62.06,,,,,,,,,,0.809,8.79,2224,119,0,579,0.172,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/19/19,0,67.61,1132,51.97,556,57.16,86.8,,,,,,,,,,0.355,7.108,1059,159,0,465.8,0.125,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/20/19,0,64.81,1231,50.22,2321,55.69,82,,,,,,,,,,0.245,7.108,933,206,0,330.4,0.089,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/21/19,0,66.5,1108,47.23,422,55.61,77.89,,,,,,,,,,0.828,8.79,651,80,0,518.1,0.139,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/22/19,0,67.96,1233,48.33,509,57.1,80.7,,,,,,,,,,1.517,12.14,1958,93,0,508.2,0.138,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/23/19,0,69.42,1335,50.35,202,59.57,78.65,,,,,,,,,,1.143,10.46,2140,113,0,564.9,0.157,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/24/19,0,72.45,1329,53.49,240,60.01,84.4,,,,,,,,,,1.814,10.46,1000,156,0,520.4,0.149,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/25/19,0,69.53,1442,54.34,632,59.68,84.3,,,,,,,,,,0.472,7.108,304,113,0,571.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/26/19,0,66.68,1243,54.22,110,58.15,84.4,,,,,,,,,,0.422,7.108,227,161,0,465,0.128,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/27/19,0,64.92,1452,53.98,329,56.5,89.4,,,,,,,,,,0.141,7.108,1601,304,0,182,0.051,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/28/19,0,66.33,1022,54.34,111,57.77,84.3,,,,,,,,,,0.776,15.49,1920,122,0,346.3,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/29/19,0,68.94,1237,51.56,2300,57.45,83.4,,,,,,,,,,1.459,13.82,550,132,0.04,393.5,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,4/30/19,0,65.89,1318,49.73,2103,56.37,82.6,,,,,,,,,,0.179,7.108,945,312,0.04,346.9,0.095,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/1/19,0,67.59,1242,49.86,426,58.12,73.81,,,,,,,,,,0.553,8.79,1458,317,0,548.1,0.151,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/2/19,0,68.92,1411,48.33,231,57.56,83.9,,,,,,,,,,0.383,7.108,1055,305,0,463.5,0.129,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/3/19,0,68.55,1349,53.61,2157,59.47,80.2,,,,,,,,,,0.606,8.79,910,152,0,570.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/4/19,0,68.75,1301,53.61,426,58.71,82.6,,,,,,,,,,0.462,10.46,1233,210,0,501.6,0.142,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/5/19,0,67.35,1104,53.98,2028,58.68,77.67,,,,,,,,,,0.437,10.46,1149,149,0,500,0.139,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/6/19,0,68.56,1311,52.1,538,58.63,79.82,,,,,,,,,,0.367,7.108,1042,181,0,591.2,0.164,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/7/19,0,68.33,1210,51.98,2223,57.8,78.42,,,,,,,,,,0.354,8.79,1148,152,0,507.1,0.14,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/8/19,0,63.7,1343,54.22,9,57.38,81.6,,,,,,,,,,0.203,7.108,1328,320,0,215.8,0.063,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/9/19,0,66.37,1243,54.22,614,57.75,83.1,,,,,,,,,,0.464,7.108,1359,219,0,243.8,0.071,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/10/19,0,66.58,1221,53.49,2312,57.54,85.4,,,,,,,,,,1.272,10.46,913,106,0.04,171,0.053,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/11/19,0,73.29,1116,53,20,61.02,78.69,,,,,,,,,,0.492,8.79,1150,314,0,524.9,0.153,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/12/19,0,70.63,1244,56.18,2,61.25,81.8,,,,,,,,,,2.131,10.46,2029,91,0,427.7,0.127,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/13/19,0,65.89,1501,56.22,1930,59.32,88.5,,,,,,,,,,0.284,10.46,2,143,0,193.9,0.056,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/14/19,0,68.8,1400,55.86,1947,59.62,88.5,,,,,,,,,,0.145,5.431,1252,253,0.01,307.1,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/15/19,0,66.15,1225,52.7,2340,58.74,84.2,,,,,,,,,,0.364,8.79,733,99,0,182,0.054,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/16/19,0,65.95,1433,52.51,2359,57.55,82.5,,,,,,,,,,2.655,22.2,653,148,0.48,457.1,0.125,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/17/19,0,67.72,1220,49.86,2359,57.8,75.84,,,,,,,,,,1.054,8.79,36,94,0,618.5,0.171,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/18/19,0,69.18,1152,47.48,335,57.92,80.6,,,,,,,,,,0.484,7.108,738,140,0,534.4,0.148,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/19/19,0,65.96,1344,48.76,732,54.82,81.8,,,,,,,,,,2.153,15.49,852,130,0.23,360.4,0.096,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/20/19,0,65.29,1303,50.82,449,56.86,78.85,,,,,,,,,,0.917,10.46,1550,322,0.02,592.5,0.157,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/21/19,0,65.41,1323,50.22,2252,56.24,79.33,,,,,,,,,,2.626,12.14,418,116,0,509.6,0.138,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/22/19,0,65.52,1440,48.39,346,55.72,77.38,,,,,,,,,,2.019,17.17,2329,105,0.06,594.4,0.161,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/23/19,0,65.72,1439,49.49,2125,55.64,80.3,,,,,,,,,,2.395,15.49,139,107,0,368.7,0.102,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/24/19,0,69.53,1321,49.61,140,58.24,75.76,,,,,,,,,,0.475,8.79,1718,325,0,659.4,0.184,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/25/19,0,67.77,1409,48.39,403,56.86,80.2,,,,,,,,,,0.604,8.79,831,133,0,571.4,0.156,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/26/19,0,59.34,804,50.46,2357,54.56,83.3,,,,,,,,,,0.677,7.108,225,117,0.22,175.6,0.05,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/27/19,0,63.83,1354,45.46,513,54.53,78.61,,,,,,,,,,0.42,8.79,840,149,0,662.4,0.172,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/28/19,0,67.96,1423,45.83,149,57.18,74,,,,,,,,,,0.713,10.46,1001,154,0,668.7,0.18,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/29/19,0,71.17,1453,49.25,249,60.19,78.3,,,,,,,,,,1.162,10.46,2047,131,0,664.3,0.187,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/30/19,0,68.94,1249,54.47,357,59.42,84.6,,,,,,,,,,0.689,8.79,1739,165,0,575.9,0.161,*,,,,,,,,,,,,,,,,,,,,
Coastal,5/31/19,0,67.49,1103,55.07,246,58.82,83.6,,,,,,,,,,0.564,8.79,117,118,0,334.9,0.097,*,,,,,,,,,,,,,,,,,,,,
